Conference/Journal,Year,Artifact Track URL,Discipline,Badge System,Artifact Types,Notes,Region,Data Collection Type,LLM,Tool Use,Prompt,Data Collection Date
"DELFI (Fachtagung Bildungstechnologien, GI)",2025/2026,https://delfi-tagung.de/2026/artefakte,Educational technology,"FAIR4EDTECH; FAIR badges adapted from ACM (Available/Verfügbar, Functional/Funktionsfähig, Reusable/Wiederverwendbar)","Software, Data, Models, OERs, Others","""FAIR4EDTECH: Towards an Artifact Evaluation Track"" (Bernoth et al., DELFI 2025, LNI P-369); German/English",DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
"BTW – Datenbanksysteme für Business, Technologie und Web (GI/DBIS)",2025 (Bamberg),https://btw2025.gi.de/calls/reproducibility,Databases,Reproducibility label following SIGMOD guidelines,"Code, experimental setups, scripts",Second edition of Reproducibility Initiative; LNI P-361 proceedings,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
Software Engineering (SE) conference (GI Fachbereich Softwaretechnik),2026 (Bern),https://se2026.inf.unibe.ch/de/tracks/scientific-program/,Software engineering,None (open-data availability expectation only; Zenodo/Figshare/arXiv),Papers + data,Scientific program re-presents already-published papers; no badge track,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
RDMxSE workshop (NFDIxCS) @ SE 2026,2026 (Bern),https://se2026.inf.unibe.ch/de/workshops/rdmxse/,Software engineering / research data management,"None yet (building ""Artefakt-Evaluation"" service)","Software, RDM containers, reusable execution environments",NFDIxCS-driven artifact-evaluation infrastructure for German SE community,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
Datenbank-Spektrum (Springer; GI Fachgruppe DBIS),current,https://link.springer.com/journal/13222,Databases,Standard Springer research-data policy (no badges),Data availability statements,"Reproducibility a community theme (TU Dresden 2022 workshop), no formal badge",DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ICSE,2026,https://conf.researchr.org/track/icse-2026/icse-2026-artifact-evaluation,Software engineering,"ACM (Available, Functional, Reusable, Results Reproduced, Results Replicated)","Software, data, models",GitHub alone not archival; Software Heritage/Zenodo required,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FSE/ESEC,2026,https://conf.researchr.org/track/fse-2026/fse-2026-artifacts,Software engineering,"ACM (Functional, Reusable, Available)","Software, data repositories",Artifacts on Zenodo with DOI,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ASE,2026,https://conf.researchr.org/track/ase-2026/ase-2026-artifact-evaluation,Software engineering,ACM,"Software, data","IEEE/ACM, Munich Oct 2026",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SEAMS,2026,https://conf.researchr.org/track/seams-2026/seams-2026-artifact-track,Self-adaptive systems,ACM-style,Dedicated artifacts,≥3 PC reviewers per artifact,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ICSA,2026,https://conf.researchr.org/track/icsa-2026/icsaartifacts+evaluation+track2026,Software architecture,"IEEE (ROR, ORO, ROR-R, RER)","Software, data repositories",Based on ICSE 2025/ACM policy; Best Artifact Award,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FormaliSE,2026,https://2026.formalise.org/track/Formalise-2026-artifact-track,Formal methods in SE,Available/Functional/Reusable,"Software, proofs, data","Single-anonymous, concurrent with paper review",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
TACAS,2020–2025,https://tacas.info/artifacts-25.php,Formal methods / verification,"EAPLS (Functional, Reusable, Available)","Software, datasets, machine-checkable proofs",Mandatory for tool papers; two rounds; DOI required for Available,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FM,2026,https://conf.researchr.org/track/fm-2026/fm-2026-artifact-evaluation,Formal methods,"EAPLS (functional, reusable, available)","Software, data, proofs",DOI required for reusable,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
PLDI,2014–2023,https://pldi23.sigplan.org/track/pldi-2023-pldi-research-artifacts,Programming languages,ACM/SIGPLAN,"Software, proofs, benchmarks",AE pioneer since 2014,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
POPL,2015–2025,https://popl25.sigplan.org/track/POPL-2025-artifact-evaluation,Programming languages,ACM/SIGPLAN,"Software, mechanized proofs, benchmarks",Two-phase; grad-student-heavy AEC,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
USENIX Security,2026,https://secartifacts.github.io/usenixsec2026/instructions,Security,"USENIX (Available, Functional, Reproduced)","Software, data, proofs",Phase-1 availability MANDATORY; acceptance rescinded if fails,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
OSDI,2026,https://www.usenix.org/conference/osdi26/call-for-artifacts,Operating systems,USENIX (Available only in '26),"Software, data",Combined with USENIX ATC; Zenodo recommended,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
USENIX ATC,2025,https://www.usenix.org/conference/atc25/call-for-artifacts,Systems,"USENIX (Available, Functional, Reproduced)","Software, data","""Last year, 64% of accepted USENIX ATC papers participated in the artifact evaluation process"" (ATC '25 CfA)",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
NSDI,2026,https://www.usenix.org/conference/nsdi26/call-for-artifacts,Networking,"USENIX (Available, Functional, Reproduced)","Software, data, proofs",Open to all accepted papers,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ACM CCS,2025,https://www.sigsac.org/ccs/CCS2025/call-for-artifacts/,Security,"ACM (Available, Evaluated, Reproduced)","Software, data",Continuation of CCS 2023/24; inspired by USENIX/SOSP/SIGPLAN,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
NDSS,2026,https://secartifacts.github.io/ndss2026/call,Security,ACM-style; kick-the-tires,"Software, data",Distinguished Evaluator Awards,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ACSAC,since 2017,https://secartifacts.github.io/acsac,Security,ACM-style,"Software, data",Catalogued at secartifacts.github.io,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
CHES,since 2021,https://secartifacts.github.io/ches,Crypto hardware,ACM-style,"Software, hardware",Introduced AE in 2021,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SIGMOD (ARI),2025,https://reproducibility.sigmod.org/,Databases,"ACM (Available, Reusable, Results Reproduced)","Data, scripts, code",Independent reproducibility reviewer; Best Artifact award,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
VLDB,2021+,https://dl.acm.org/doi/10.1145/3552490.3552511,Databases,"ACM (Available, Reproducibility)","Code, scripts, data",Availability required at review stage,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SIGIR / CHIIR / ICTIR,current,https://sigir.org/general-information/acm-sigir-artifact-badging/,Information retrieval,ACM (v1.1),"Software, datasets",Open review; asynchronous via OpenReview; ≤3 yrs post-publication,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
MMSys,2025,https://2025.acmmmsys.org/reproducibility.html,Multimedia systems,ACM,"Docker/VM, traces, code",First ACM SIGMM conf to adopt ACM badging; Docker-first,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
MobiSys,2025,https://www.sigmobile.org/mobisys/2025/artifact_evaluation/,Mobile systems,ACM,Hardware + software,Adapted from ASPLOS 2022,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SIGSIM-PADS,2026,https://sigsim.acm.org/conf/pads/2026/blog/artifact-evaluation/,Simulation,ACM (Functional/Reusable),"Software, data",AERCR; TOMACS special issue,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SC (Supercomputing),2025/2026,https://sc25.supercomputing.org/program/papers/reproducibility-initiative/,HPC,ACM badges + AD/AE appendices,"Software, data, workflows","AD appendix mandatory; AE optional; ""Each AE Appendix is allocated an 8-hour review budget"" (SC25); AE Reports published",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FCCM,2025,https://www.fccm.org/artifact-evaluation-2025/,Reconfigurable computing,IEEE Reproducibility Badging,"Code, data",Based on Reproducibility Badging at IEEE,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
CHI (SIGCHI),2025,https://chi2025.acm.org/for-authors/publication-ready-author-instructions/,HCI,ACM Artifact Review and Badging (optional supplementary),"Survey material, code, data, video",Reproducibility a review criterion,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
"Empirical Software Engineering (EMSE, Springer)",current,https://emsejournal.github.io/open_science,Software engineering,"Single ""Open Science"" badge (OSI Open-data)","Data, code, models, non-code (UML, requirements)",First SE-journal open-science initiative; Open Science Review Board,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
NeurIPS,2025/2026,https://neurips.cc/public/guides/PaperChecklist,Machine learning,Mandatory Paper Checklist + code/data submission policy,"Code, data, model weights",Checklist mandatory (desk reject if omitted); no formal badges,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
Psychological Science (APS),since 2014,https://www.psychologicalscience.org/publications/badges,Psychology,COS Open Data / Open Materials / Preregistered,"Data, materials, preregistration","Open-data reporting rose from <3% to 39% in the first half of 2015 (Kidwell et al. 2016, PLOS Biology, DOI 10.1371/journal.pbio.1002456)",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
AEA journals (economics),current,https://www.aeaweb.org/journals/data/data-code-policy,Economics,AEA Data Editor verification; DCAS v1.0 standard,"Data, code, replication packages",Pre-publication reproducibility checks; AEA Data & Code Repository at ICPSR,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
GigaScience (Oxford/BGI),current,https://academic.oup.com/gigascience/pages/instructions_to_authors,Life sciences / bioinformatics,FAIR; mandatory open data + OSI-licensed source code,"Data, code, workflows, containers","Reviewer-tested reproducibility; GigaDB, Code Ocean integration",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FormaliSE 2026 (Formal Methods in Software Engineering),2026,https://2026.formalise.org/track/Formalise-2026-artifact-track?,,"ACM Artifact Review and Badging, via EAPLS Artifact Badges",,"Location: Rio de Janeiro, Brazil (2026)",International,Manual,N/A,N/A,N/A,2026-06-15
34th IEEE International Requirements Engineering Conference (RE'26),2026,https://conf.researchr.org/track/RE-2026/RE-2026-artifacts,,,,"Location: Montreal, Canada (2026); Best Artifact Award; 2 Open Science Awards",International,Manual,N/A,N/A,N/A,2026-06-15
ICPE 2026 (17th ACM/SPEC International Conference on Performance Engineering),2026,https://icpe2026.spec.org/tracks-and-submissions/artifact-evaluation-track/,,ACM Artifact Review and Badging,,"Location: Florence, Italy (2026); Evaluation Track Chairs: Martina Rapp-Sieger (Karlsruhe), Willem Meijer (Sweden)",International,Manual,N/A,N/A,N/A,2026-06-15
DSN 2026 (56th Annual IEEE/IFIP International Conference on Dependable Systems and Networks),2026,https://dsn2026.github.io/cfartifacts.html,,IEEE Reproducibility Badges,,"Location: Charlotte, USA (2026); Distinguished Artifact Award",International,Manual,N/A,N/A,N/A,2026-06-15
